item_id,condition,sentence,critical_word,model,surprisal_bits
1,upper_bound,Mary asked John whether he intended to host all his relatives in his tiny apartment. John replied that he intended to host some of his relatives. The rest would stay in a nearby hotel.,some,gpt2,1.1059115596418634
1,lower_bound,Mary was surprised to see John cleaning his apartment and she asked the reason why. John replied that he intended to host some of his relatives. The rest would stay in a nearby hotel.,some,gpt2,3.6666243589346705
2,upper_bound,Mary wanted to create a very special atmosphere and wondered whether to light all her special candles in the dining hall or not. Eventually she took her decision: she lit some of her candles. The others were left unlit to create a nice atmosphere.,some,gpt2,2.7972575646568774
2,lower_bound,Mary pays attention to the most minute detail in order to create a romantic atmosphere in her dinner parties. Last night she had a dinner party and she lit some of her candles. The others were left unlit to create a nice atmosphere.,some,gpt2,8.766507410732405
3,upper_bound,"Yesterday, George asked Mary whether John had gone to the cinema with all his friends. Mary said that he went to the cinema with some of his friends. The others went for bowling and roller-skating.",some,gpt2,2.0600659725446895
3,lower_bound,John's mother is anxious about his whereabouts. She asked Mary if she knew what John did on Friday night. Mary said that he went to the cinema with some of his friends. The others went for bowling and roller-skating.,some,gpt2,4.3133104252443015
4,upper_bound,The warden of the zoo asked whether all the lions had been fed. The worker replied that he had fed some of the lions. The rest were being examined by the vets and would be fed later.,some,gpt2,1.6557767252439575
4,lower_bound,The warden of the zoo asked the worker what he had been doing the whole morning. He replied that he had fed some of the lions. The rest were being examined by the vets and would be fed later.,some,gpt2,3.398742462860347
5,upper_bound,"John was taking a university course and working at the same time. For the exams he had to study from short and comprehensive sources. Depending on the course, he decided to read the class notes or the summary.",or,gpt2,5.012740130775607
5,lower_bound,John heard that the textbook for Geophysics was very advanced. Nobody understood it properly. He heard that if he wanted to pass the course he should read the class notes or the summary.,or,gpt2,3.659839987342077
6,upper_bound,"The day's offer usually is: you can have a full menu for one person and the second person can have the plat de jour for free. Today, customers could have for free meat or fish.",or,gpt2,3.2850385413119523
6,lower_bound,The dietician that visited the school explained to children how useful for our body protein can be. He also told them that we can find protein in meat or fish.,or,gpt2,2.0567797280610334
7,upper_bound,"Mary was saying that John is so careless that he constantly loses things. He has lost money, keys, credit cards. Once along with his bag, he even managed to lose his ID or his passport.",or,gpt2,3.2334423703336808
7,lower_bound,The police stopped John for a routine control but John had only his driving license on him. The policemen stressed to John that valid identification documents are his ID or his passport.,or,gpt2,3.2286609086875315
8,upper_bound,"While Mary and John were out shopping, it started raining. John would get wet. Even though she did not have a lot of money, she offered to buy him an umbrella or a coat.",or,gpt2,2.4425182387600737
8,lower_bound,"It was highly probable that it would rain. Mary advised John to dress accordingly. To avoid getting wet, she suggested to him to take with him an umbrella or a coat.",or,gpt2,1.9895611690692643
1,upper_bound,Mary asked John whether he intended to host all his relatives in his tiny apartment. John replied that he intended to host some of his relatives. The rest would stay in a nearby hotel.,some,gpt2-medium,1.9190995332390868
1,lower_bound,Mary was surprised to see John cleaning his apartment and she asked the reason why. John replied that he intended to host some of his relatives. The rest would stay in a nearby hotel.,some,gpt2-medium,4.599697654500614
2,upper_bound,Mary wanted to create a very special atmosphere and wondered whether to light all her special candles in the dining hall or not. Eventually she took her decision: she lit some of her candles. The others were left unlit to create a nice atmosphere.,some,gpt2-medium,3.285504270329209
2,lower_bound,Mary pays attention to the most minute detail in order to create a romantic atmosphere in her dinner parties. Last night she had a dinner party and she lit some of her candles. The others were left unlit to create a nice atmosphere.,some,gpt2-medium,9.339201381364648
3,upper_bound,"Yesterday, George asked Mary whether John had gone to the cinema with all his friends. Mary said that he went to the cinema with some of his friends. The others went for bowling and roller-skating.",some,gpt2-medium,1.5272248535567732
3,lower_bound,John's mother is anxious about his whereabouts. She asked Mary if she knew what John did on Friday night. Mary said that he went to the cinema with some of his friends. The others went for bowling and roller-skating.,some,gpt2-medium,4.207148974811421
4,upper_bound,The warden of the zoo asked whether all the lions had been fed. The worker replied that he had fed some of the lions. The rest were being examined by the vets and would be fed later.,some,gpt2-medium,1.961666787054522
4,lower_bound,The warden of the zoo asked the worker what he had been doing the whole morning. He replied that he had fed some of the lions. The rest were being examined by the vets and would be fed later.,some,gpt2-medium,2.650578205670612
5,upper_bound,"John was taking a university course and working at the same time. For the exams he had to study from short and comprehensive sources. Depending on the course, he decided to read the class notes or the summary.",or,gpt2-medium,3.7580310738252725
5,lower_bound,John heard that the textbook for Geophysics was very advanced. Nobody understood it properly. He heard that if he wanted to pass the course he should read the class notes or the summary.,or,gpt2-medium,3.317732099185834
6,upper_bound,"The day's offer usually is: you can have a full menu for one person and the second person can have the plat de jour for free. Today, customers could have for free meat or fish.",or,gpt2-medium,1.7551840730307127
6,lower_bound,The dietician that visited the school explained to children how useful for our body protein can be. He also told them that we can find protein in meat or fish.,or,gpt2-medium,2.5371430930047776
7,upper_bound,"Mary was saying that John is so careless that he constantly loses things. He has lost money, keys, credit cards. Once along with his bag, he even managed to lose his ID or his passport.",or,gpt2-medium,2.6190857746270555
7,lower_bound,The police stopped John for a routine control but John had only his driving license on him. The policemen stressed to John that valid identification documents are his ID or his passport.,or,gpt2-medium,2.808749617338603
8,upper_bound,"While Mary and John were out shopping, it started raining. John would get wet. Even though she did not have a lot of money, she offered to buy him an umbrella or a coat.",or,gpt2-medium,2.3991024225476134
8,lower_bound,"It was highly probable that it would rain. Mary advised John to dress accordingly. To avoid getting wet, she suggested to him to take with him an umbrella or a coat.",or,gpt2-medium,2.5193540675616646
